序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資資安,112590245,闥鬃湪,gUu2NpUJGX,5,8,7,0,6,10,1,5,0,1
2,創新AI,111C52345,坂饽陕,i7lnObHLV4,0,3,3,4,8,9,0,3,6,3
3,資工系,111C52149,錧耆淎,vnhgARvX4G,4,8,6,5,8,1,5,0,10,6
4,創新AI,111590839,竢滫淚,OmHifhMyhn,6,0,1,9,7,8,2,6,8,6
5,資工系,112598795,吭摟瓨,cJuh64aEGU,4,4,8,6,0,0,6,10,8,7
6,資工所,111C53042,溣摽鹦,5vSoaVLEA6,9,0,9,1,9,3,2,9,10,4
7,資工系,111598187,鮵絼痊,d3RMFYhzPm,9,10,2,1,7,0,10,10,2,8
8,資工所,111C52990,鴸穣瓟,5eLPmeSZCM,1,9,8,7,3,10,1,6,1,3
9,資工所,111C52939,琉鹛供,i1OstCpLmQ,6,9,3,0,2,10,3,4,0,2
10,資工系,111C53351,銹爧橺,Sfa5JnP6CV,8,3,0,9,0,4,7,0,10,3
11,資工所,112C71884,膈湝溾,teiXwmN427,10,0,3,4,1,9,5,3,9,5
12,電資AI,111C71857,怙懷樑,QAHS1RsDTG,10,8,4,7,7,7,9,5,4,1
13,電資AI,111C52559,袨疿梕,6goxX1P2Mq,9,2,2,3,6,4,3,9,7,3
14,電資AI,111C52020,堾肁峖,quEZMXAvZC,2,8,1,6,10,9,5,3,4,7
15,電資資安,111C71231,鴡帩藸,fnKyQqLy6a,6,5,4,1,10,4,3,5,0,0
16,資工系,112C53608,探巠勣,WSXpsi2ASS,7,0,6,7,10,0,8,10,0,5
17,資工系,112590870,緁砾慽,KmUYct0Ywr,0,6,2,5,0,8,6,9,9,2
18,創新AI,112C71500,鹬陎暵,cRV5mqVvPh,4,6,6,5,9,9,10,9,3,7
19,資工所,112C53359,盚贉蕋,iOe03w4rxY,6,10,1,5,9,10,2,8,9,2
20,電資資安,112590839,慇垎鍪,580ZEVwCti,7,1,10,5,5,6,5,0,5,10
21,電資AI,112598720,傓呹茏,2Vz1PExqOg,7,5,2,4,5,9,10,0,10,9
22,資工系,112C53247,往瑇毯,1QkdH6JyoR,4,1,9,10,5,4,10,1,7,10
23,資工系,112C53964,嚶课惑,WYd25UwV7T,10,10,10,6,2,8,0,7,5,5
24,電資AI,111C53768,魘端悶,uTICKwRwqv,8,8,2,5,6,4,7,4,5,2
25,資工系,111C52787,猷鷬鸔,hQMPa6JeEW,3,9,6,0,8,9,5,8,1,2
26,資工所,112590142,稡颿砼,OQOUlVUUE2,3,10,4,7,5,10,6,7,2,5
27,電資資安,111590931,濻墏钥,cvX98dNGwh,2,7,2,9,3,3,1,0,4,2
28,資工系,111598524,簵憻篮,3r3u89BO58,7,8,9,4,9,1,3,2,6,4
29,資工系,112598325,杏閠揊,CGLHTtiqZ9,6,2,7,9,9,3,1,4,5,4
30,資工所,111C71480,槔鯦挃,UJD1Vutybk,4,9,5,9,0,0,1,4,1,7
31,資工系,111598485,锑嘢栓,TCa3KeHWEH,0,6,3,6,4,0,8,4,1,2
32,電資資安,111C71318,艪忼乤,U7opRLDH1x,2,1,1,5,6,3,7,5,2,9
33,創新AI,112598834,遀鯛纂,qlklwC4ZX4,9,10,9,6,2,10,1,10,7,3
34,創新AI,111598050,剚龿洣,v6h350BYjx,8,10,2,2,5,3,6,10,8,4
35,創新AI,112C53079,摖儹劾,WZfrMx0Bl6,0,2,10,2,1,9,9,8,7,8
36,資工系,111598589,富筌脢,yOT8PluSDr,0,7,8,0,9,9,10,1,7,9
37,資工所,111590201,謷渌蓫,kDT0RjQvkL,1,10,5,1,5,2,1,10,6,3
38,創新AI,111590540,塪鱬壂,yWb69hr7C8,7,7,2,8,2,6,1,4,10,6
39,電資AI,111590205,啺漄榋,iSPi9ION3L,6,8,1,5,1,0,4,6,5,2
40,電資資安,111598776,鑓禘墫,1laWSDnEkB,4,7,2,6,7,3,5,0,5,3
41,資工所,111C52038,懽巖泯,b1RzdGRWrX,2,6,2,0,4,4,6,7,5,5
42,創新AI,111590828,開慬矉,sJhfpjjvSP,4,0,10,8,6,6,0,0,10,7
43,資工所,112598734,宕閣玛,JysoWtNK2G,4,4,4,6,2,7,6,9,1,0
44,資工所,111590650,挱焳伒,yGOTqEKEDn,3,7,7,2,3,0,0,4,4,6
45,資工所,112598372,鍎茌葺,CI0459qU2s,2,4,3,3,4,10,7,10,5,10
46,電資資安,111C71788,檏賉轨,PZzKUGxerS,0,4,0,8,0,7,5,4,8,1
47,創新AI,111C71635,鎩垱浿,r3csZHOJzC,0,7,0,7,5,1,6,1,8,9
48,電資AI,112C53755,鹞俷樏,riTXuR88Ne,7,9,6,0,2,5,3,0,2,8
49,創新AI,112C53283,胸僲惴,98SJdijF0R,4,5,10,0,3,3,9,2,7,7
50,創新AI,112C53031,汼秘辘,3u0YRNXiJ5,9,2,0,0,2,4,3,10,6,6
51,電資資安,112598056,喆菎厊,WfFzC1rqqu,1,7,9,1,3,4,0,0,3,8
52,資工所,112C52044,僱欸逘,ywOSlVjCG1,7,9,7,10,1,8,1,4,5,0
53,電資AI,111C71053,擶瑣嬏,mLXuL8Dxhg,9,8,5,5,10,2,3,6,6,7
54,資工所,112C71395,玢縶蒲,3pQqIIeA7o,7,5,0,7,3,2,2,4,7,10
55,創新AI,112C71160,鿫涠逥,qRs2fYMX1d,7,7,8,4,0,4,0,2,6,8
56,資工所,112C53182,迶哜啁,AFE27lBfJ3,0,1,0,7,5,9,1,5,0,0
57,電資資安,111598764,洭皍萇,cJnnBct7JD,10,5,2,0,9,0,5,3,4,6
58,電資AI,112598965,蝭竵齂,nFAsUMVRuT,1,9,2,5,0,9,5,5,9,8
59,電資AI,111C52662,齞騸騟,IlclxXh2kG,6,2,4,2,10,3,0,0,9,9
60,電資資安,111C52738,綐鎺郯,nVuqBSUTjz,7,3,1,1,7,7,5,7,6,4
61,電資資安,112C53577,矄灲斥,G7q3SanHQd,8,10,3,4,4,7,1,5,0,9
62,創新AI,112C53022,摪妮糈,q4hThMmxtg,6,2,9,9,4,5,7,3,2,6
63,創新AI,111C71544,萺啁晄,vezf79EmfI,1,1,0,3,4,10,5,0,5,1
64,電資資安,112C7108,摘繣摪,I2z6aqd6IK,3,9,6,9,6,9,1,1,3,8
65,資工所,112598513,韘蹒芴,2tyZey6n07,4,7,2,4,4,7,4,4,10,3
66,電資AI,111598837,炙囵痀,LoX9PpbCds,7,0,6,2,3,9,3,5,7,9
67,資工系,111C53076,罽牊芆,eeBIRlvgqp,7,3,10,0,3,1,3,9,7,10
68,資工所,112C71140,糖葊祛,ThstrCdg5G,7,1,7,2,0,3,2,10,2,2
69,資工系,111598686,仭岳魣,DTZNm8DpXU,8,6,8,3,10,2,8,10,1,8
70,資工系,111C52798,蔞鈑狽,Th09CkFvZ7,3,6,7,6,8,6,6,5,2,0
