Â∫èË?,?≠Á?,Â≠∏Ë?,ÂßìÂ?,GitHub,‰ΩúÊ•≠‰∏Ä,‰ΩúÊ•≠‰∫?‰ΩúÊ•≠‰∏?‰ΩúÊ•≠??‰ΩúÊ•≠‰∫?‰ΩúÊ•≠??‰ΩúÊ•≠‰∏?‰ΩúÊ•≠??‰ΩúÊ•≠‰π?‰ΩúÊ•≠??1,?ªË?Ë≥áÂ?,112590245,?•È?Êπ?gUu2NpUJGX,5,8,7,0,6,10,1,5,0,1
2,?µÊñ∞AI,111C52345,?ÇÈ•Ω??i7lnObHLV4,0,3,3,4,8,9,0,3,6,3,,,,,,
3,Ë≥áÂ∑•Á≥?111C52149,?ßËÄÜÊ?,vnhgARvX4G,4,8,6,5,8,1,5,0,10,6,,,,,,
4,?µÊñ∞AI,111590839,Á´¢Êª´Ê∑?OmHifhMyhn,6,0,1,9,7,8,2,6,8,6,,,,,,
5,Ë≥áÂ∑•Á≥?112598795,?≠Ê???cJuh64aEGU,4,4,8,6,0,0,6,10,8,7,,,,,,,
6,Ë≥áÂ∑•?Ä,111C53042,Ê∫?ëΩÈπ?5vSoaVLEA6,9,0,9,1,9,3,2,9,10,4,,,,,,
7,Ë≥áÂ∑•Á≥?111598187,ÈÆµÁµº??d3RMFYhzPm,9,10,2,1,7,0,10,10,2,8,,,,,,,
8,Ë≥áÂ∑•?Ä,111C52990,È¥∏Á©£??5eLPmeSZCM,1,9,8,7,3,10,1,6,1,3,,,,,,
9,Ë≥áÂ∑•?Ä,111C52939,?âÈ?‰æ?i1OstCpLmQ,6,9,3,0,2,10,3,4,0,2,,,,,,
10,Ë≥áÂ∑•Á≥?111C53351,?πÁàßÊ©?Sfa5JnP6CV,8,3,0,9,0,4,7,0,10,3,,,,,,,
11,Ë≥áÂ∑•?Ä,112C71884,?àÊ?Ê∫?teiXwmN427,10,0,3,4,1,9,5,3,9,5,,,,,,
12,?ªË?AI,111C71857,?ôÊá∑Ê®?QAHS1RsDTG,10,8,4,7,7,7,9,5,4,1,,,,,,
13,?ªË?AI,111C52559,Ë¢®ÁñøÊ¢?6goxX1P2Mq,9,2,2,3,6,4,3,9,7,3,,,,,,
